chr	gene	nSNPs	nSims	start	stop	Test	geneBased.pval	topSNP	topSNP.pval	genome	cohort	outcome	disease
19	LIG1	312	1000	48608701	48683860	493.518922126252	0.138861138861139	rs3730865	0.000571185673714714	D	c2	TRM	ALLonly
17	LIG3	43	1000	33297516	33342088	26.6551679076866	0.705294705294705	rs11658051	0.12510457369755	D	c2	TRM	ALLonly
12	LRP1	154	10000	57512281	57617125	266.989205934198	0.0831916808319168	rs1140648	0.0176459756319256	D	c2	TRM	ALLonly
19	MADCAM1	165	1000	486489	515343	247.555292309465	0.111888111888112	rs114797296	0.00203069626411778	D	c2	TRM	ALLonly
2	MAL	50	1000	95681399	95729737	62.1975987383276	0.238761238761239	rs77374723	0.000539063172758317	D	c2	TRM	ALLonly
3	MBD4	73	1000	129139786	129169022	12.6388940099207	0.978021978021978	rs114422006	0.0667393240531853	D	c2	TRM	ALLonly
10	MBL2	126	1000	54515139	54541460	49.7378915403447	0.905094905094905	rs146594159	0.117839770639792	D	c2	TRM	ALLonly
12	MGST1	152	1000	16490075	16540123	82.7387961969778	0.838161838161838	rs2287150	0.0382765390308377	D	c2	TRM	ALLonly
22	MIF	106	1000	24226564	24247409	101.484458326124	0.440559440559441	rs2000466	0.0555156983422758	D	c2	TRM	ALLonly
16	MPG	96	1000	117017	145850	70.9064899158766	0.632367632367632	rs28373490	0.0204468176247348	D	c2	TRM	ALLonly
17	MPO	61	1000	56337216	56368296	70.0601336429699	0.281718281718282	rs28730837	0.00874316406720092	D	c2	TRM	ALLonly
1	MTHFR	231	1000	11835786	11876160	276.148247195703	0.330669330669331	rs34994762	0.00369590121740872	D	c2	TRM	ALLonly
1	MTR	333	1000	236948580	237077281	587.78056070375	0.121878121878122	rs77140336	0.00130076345464945	D	c2	TRM	ALLonly
5	MTRR	260	1000	7859216	7911235	105.329846888861	0.918081918081918	rs187137391	0.000762365798943064	D	c2	TRM	ALLonly
1	MUTYH	40	1000	45784913	45816142	22.0115711287559	0.832167832167832	rs3219466	0.0327436499321658	D	c2	TRM	ALLonly
8	NAT1	389	1000	18017970	18091198	318.241806494937	0.619380619380619	rs2410472	0.000842473586511682	D	c2	TRM	ALLonly
8	NAT2	207	1000	18238754	18268723	43.9738753575279	0.98001998001998	rs78344578	0.0956485430061438	D	c2	TRM	ALLonly
4	NFKB1	249	1000	103412485	103548459	341.943463334448	0.204795204795205	rs3774934	0.00127877444646309	D	c2	TRM	ALLonly
10	NFKB2	55	1000	104143866	104172286	68.8967765956905	0.226773226773227	rs117632672	0.00372938075207364	D	c2	TRM	ALLonly
14	NFKBIA	95	1000	35860715	35883960	59.0869757326052	0.789210789210789	rs4375568	0.0663561929764495	D	c2	TRM	ALLonly
19	NFKBIB	68	1000	39380339	39409534	43.8210430730649	0.714285714285714	rs11575004	0.0162231421505462	D	c2	TRM	ALLonly
1	NLRP3	293	1000	247569457	247622406	204.198263420142	0.809190809190809	rs111342586	0.00151555715010647	D	c2	TRM	ALLonly
16	NOD2	102	1000	50721049	50776987	64.213697231711	0.702297702297702	rs72796367	0.00199115044119914	D	c2	TRM	ALLonly
12	NOS1	485	1000	117635946	117809607	363.051732344906	0.698301698301698	rs181643883	3.33589287108135e-05	D	c2	TRM	ALLonly
17	NOS2	195	1000	26073791	26137555	157.898419871937	0.583416583416583	rs34913965	0.0477878610448761	D	c2	TRM	ALLonly
7	NOS3	102	10000	150678143	150721687	211.422304763519	0.024997500249975	rs187467856	0.000489255399802157	D	c2	TRM	ALLonly
16	NTHL1	58	1000	2079815	2107867	68.5780802526152	0.266733266733267	rs78141372	0.00114007655292714	D	c2	TRM	ALLonly
3	OGG1	69	1000	9781627	9818353	27.9565143908892	0.961038961038961	rs73021442	0.0047545283423428	D	c2	TRM	ALLonly
12	OLR1	143	1000	10300898	10334790	57.8368922015298	0.846153846153846	rs36051049	0.0161402690771616	D	c2	TRM	ALLonly
12	P2RX7	352	1000	121560621	121634354	405.867170436337	0.307692307692308	rs1718125	0.00868656185845136	D	c2	TRM	ALLonly
1	PARP1	199	1000	226538391	226605801	422.543681759619	0.0879120879120879	rs145006641	0.00207769381760892	D	c2	TRM	ALLonly
20	PCNA	78	1000	5085598	5117268	41.6715024901193	0.652347652347652	rs3730433	0.0139548108346065	D	c2	TRM	ALLonly
22	PDGFB	134	1000	39609684	39650957	38.809975877291	0.995004995004995	rs1800818	0.230829060740545	D	c2	TRM	ALLonly
4	PDGFC	359	1000	157672762	157902546	339.038366676586	0.445554445554446	rs17035367	0.0127207401828368	D	c2	TRM	ALLonly
11	PDGFD	987	1000	103767913	104045027	480.072888313962	0.974025974025974	rs78196600	0.00275493520642411	D	c2	TRM	ALLonly
4	PDGFRA	203	1000	55085263	55174412	252.196752086153	0.216783216783217	rs17739746	0.0430694013911319	D	c2	TRM	ALLonly
5	PDGFRB	195	10000	149483401	149545422	341.111445833931	0.0555944405559444	rs55943036	0.0103359853662396	D	c2	TRM	ALLonly
17	PECAM1	102	1000	62386776	62417083	141.708370376889	0.204795204795205	rs11079536	0.0443084903655502	D	c2	TRM	ALLonly
19	PNKP	64	1000	50354459	50380822	121.551103368795	0.0789210789210789	rs77941735	0.000794198020541029	D	c2	TRM	ALLonly
8	POLB	122	1000	42185972	42239331	56.6498146678874	0.849150849150849	rs7462320	0.0332927928489225	D	c2	TRM	ALLonly
19	POLD1	143	1000	50877579	50931275	109.998981046647	0.592407592407592	rs149229136	0.00945795712159955	D	c2	TRM	ALLonly
7	POLD2	74	1000	44144278	44173169	54.5798030676204	0.597402597402597	rs180947033	0.03937123376825	D	c2	TRM	ALLonly
12	POLE	270	1000	133190347	133274110	573.362819605798	0.0819180819180819	rs4883536	0.00461723817798999	D	c2	TRM	ALLonly
18	POLI	164	1000	51785848	51834604	26.4687524364818	0.978021978021978	rs3218786	0.00290568589879413	D	c2	TRM	ALLonly
10	POLL	53	1000	103328638	103358027	64.7607586879747	0.267732267732268	rs139427119	0.000633188614500571	D	c2	TRM	ALLonly
7	PON1	126	1000	94917668	94963884	86.6216381821761	0.714285714285714	rs854542	0.0858169252663787	D	c2	TRM	ALLonly
9	PTGS1	147	1000	125122808	125167982	92.3103952361636	0.769230769230769	rs79671731	0.00417256820090617	D	c2	TRM	ALLonly
1	PTGS2	107	1000	186630943	186659559	82.8299779872153	0.527472527472527	rs7547677	0.00861434836878234	D	c2	TRM	ALLonly
1	PTPN22	141	1000	114346432	114424375	83.3539404138191	0.755244755244755	rs79580587	0.0175131504988636	D	c2	TRM	ALLonly
6	RAET1E	112	1000	150194510	150227195	26.0563306275373	0.929070929070929	rs11752313	0.0558025157654286	D	c2	TRM	ALLonly
6	RAET1G	87	1000	150228013	150254214	19.9920301009888	0.995004995004995	rs7762285	0.0965980173502199	D	c2	TRM	ALLonly
6	RAET1L	87	1000	150331265	150356668	75.8583041838143	0.430569430569431	rs143632711	0.0384650401667237	D	c2	TRM	ALLonly
19	RELB	128	1000	45494706	45551456	167.400249207597	0.180819180819181	rs34293391	0.000392000886011757	D	c2	TRM	ALLonly
4	RFC1	171	1000	39279068	39378001	149.137874978162	0.434565434565435	rs113093256	0.0288595877820261	D	c2	TRM	ALLonly
7	RFC2	73	1000	73635831	73678788	57.5837545726577	0.529470529470529	rs3735504	0.00434545610596782	D	c2	TRM	ALLonly
13	RFC3	374	1000	34382205	34550695	388.486804892294	0.371628371628372	rs144875014	0.000425526541027558	D	c2	TRM	ALLonly
3	RFC4	73	1000	186497681	186534484	53.9834817003606	0.605394605394605	rs146920076	0.00307983747780406	D	c2	TRM	ALLonly
12	RFC5	110	1000	118444505	118480042	126.423428934244	0.303696303696304	rs5745799	0.00692418369733994	D	c2	TRM	ALLonly
1	SELL	179	1000	169649805	169690843	29.8331908115277	1	rs34164630	0.093922399541607	D	c2	TRM	ALLonly
5	SLC22A4	189	1000	131620144	131689899	68.2281715375802	0.867132867132867	rs148340143	0.0177635600932936	D	c2	TRM	ALLonly
5	SLC22A5	132	1000	131695400	131741306	57.7317469924645	0.781218781218781	rs4705856	0.00277937809508132	D	c2	TRM	ALLonly
12	SMUG1	64	10000	54564141	54592778	147.280000803808	0.0561943805619438	rs3136396	0.00330630770300921	D	c2	TRM	ALLonly
2	STAT4	285	1000	191884301	192026322	199.498880203204	0.708291708291708	rs2464997	0.0268309639443608	D	c2	TRM	ALLonly
11	TCN1	33	1000	59610280	59644041	15.2208302941535	0.931068931068931	rs150884181	0.234853826068956	D	c2	TRM	ALLonly
22	TCN2	258	1000	30993069	31033047	394.074572919532	0.126873126873127	rs149258686	0.017855553414595	D	c2	TRM	ALLonly
12	TDG	169	1000	104349592	104392656	260.64081225194	0.140859140859141	rs2576973	0.00710516750675126	D	c2	TRM	ALLonly
19	TGFB1	91	1000	41826435	41869838	76.3064933983958	0.546453546453546	rs144859514	0.00393699096304078	D	c2	TRM	ALLonly
1	TGFB2	242	1000	218508675	218627961	165.048149392241	0.775224775224775	rs185779148	0.000902516234144052	D	c2	TRM	ALLonly
9	TGFBR1	114	10000	101857411	101926473	399.852759677349	0.0145985401459854	rs6478974	0.00249985479475111	D	c2	TRM	ALLonly
3	TGFBR2	333	1000	30637993	30745633	269.539114527002	0.645354645354645	rs4522809	0.0104163499134935	D	c2	TRM	ALLonly
1	TGFBR3	787	1000	92135899	92381559	794.386208755362	0.423576423576424	rs74496297	0.00165088898651755	D	c2	TRM	ALLonly
4	TLR1	119	10000	38787875	38816412	414.43921845906	0.0105989401059894	rs4833096	0.00547282823551485	D	c2	TRM	ALLonly
4	TLR10	188	1000	38763859	38794611	357.938684681369	0.0879120879120879	rs6531663	0.0057013099333938	D	c2	TRM	ALLonly
4	TLR2	93	1000	154595440	154637242	65.4380697658288	0.688311688311688	rs139569993	0.000488724504983054	D	c2	TRM	ALLonly
4	TLR3	139	1000	186980308	187016252	126.416197597086	0.502497502497502	rs6857650	0.0405062827460875	D	c2	TRM	ALLonly
9	TLR4	77	1000	120456452	120489769	98.7052925459855	0.221778221778222	rs7860896	0.0258851208909629	D	c2	TRM	ALLonly
1	TLR5	192	1000	223272747	223326624	134.029178523683	0.553446553446553	rs5744103	0.0236928539642769	D	c2	TRM	ALLonly
4	TLR6	201	1000	38815328	38868438	328.683247187381	0.166833166833167	rs67712706	0.00752728393784952	D	c2	TRM	ALLonly
3	TLR9	37	1000	52245095	52270179	20.8518301848366	0.794205794205794	rs73088767	0.0102434659975272	D	c2	TRM	ALLonly
6	TNF	72	1000	31533343	31556112	61.508607457068	0.555444555444555	rs17200740	0.0107788504765857	D	c2	TRM	ALLonly
8	TNFRSF10A	184	1000	23038969	23092680	286.124769719404	0.122877122877123	rs7812959	0.00711715379791568	D	c2	TRM	ALLonly
12	TNFRSF1A	71	1000	6427922	6461283	61.0748279714511	0.497502497502497	rs4149573	0.0248692796875015	D	c2	TRM	ALLonly
1	TNFRSF1B	204	1000	12217059	12279277	143.316660772055	0.705294705294705	rs61774888	0.0015364243480479	D	c2	TRM	ALLonly
3	TNFSF10	179	1000	172213297	172251297	299.778202715652	0.110889110889111	rs66496128	0.00897900534129516	D	c2	TRM	ALLonly
1	TNFSF4	118	1000	173142869	173186471	127.028924586248	0.337662337662338	rs182686526	0.00164873890944639	D	c2	TRM	ALLonly
22	TYMP	85	1000	50954180	50978514	157.521344057455	0.0749250749250749	rs56394500	0.00100572293044822	D	c2	TRM	ALLonly
6	ULBP3	99	1000	150375742	150400202	33.3905837788021	0.916083916083916	rs72501734	0.135004628369501	D	c2	TRM	ALLonly
12	UNG	83	1000	109525398	109558798	79.5126527994799	0.435564435564436	rs16939956	0.00113140892394836	D	c2	TRM	ALLonly
12	VDR	229	1000	48225319	48308814	245.227494131426	0.342657342657343	rs11168286	0.00545279892045293	D	c2	TRM	ALLonly
19	XRCC1	171	1000	44037463	44089730	117.856890550008	0.686313686313686	rs77121181	0.0417166357319462	D	c2	TRM	ALLonly
7	ABCB1	470	1000	87123178	87352639	400.309538555012	0.522477522477522	rs6946379	0.0132618570198788	D	c2	TRM	AMLonly
16	ABCC1	703	1000	16033433	16246930	621.603052843726	0.555444555444555	rs74950025	0.0103498172953996	D	c2	TRM	AMLonly
13	ABCC4	1204	1000	95662082	95963687	799.717090535617	0.902097902097902	rs2389181	0.00100088563243028	D	c2	TRM	AMLonly
4	ABCG2	521	1000	89001415	89162474	280.754165504841	0.938061938061938	rs2231138	0.0137846464469646	D	c2	TRM	AMLonly
14	APEX1	68	1000	20913289	20935931	41.3677063023926	0.738261738261738	rs74533796	0.0316417536351813	D	c2	TRM	AMLonly
19	C3	263	1000	6667845	6730662	234.054193044143	0.552447552447552	rs11569547	4.59220146080675e-05	D	c2	TRM	AMLonly
19	CARD8	315	1000	48701342	48769203	285.901606095267	0.467532467532468	rs6509369	0.0100228237703727	D	c2	TRM	AMLonly
21	CBS	214	1000	44463300	44506472	141.280618788519	0.74025974025974	rs75873792	0.0145189958760221	D	c2	TRM	AMLonly
3	CCR5	79	1000	46401632	46427697	81.7867805321242	0.373626373626374	rs111669359	0.0145615818539946	D	c2	TRM	AMLonly
5	CD14	57	1000	140001312	140023286	125.781924760273	0.0729270729270729	rs190607792	0.00278222655738102	D	c2	TRM	AMLonly
9	CD274	143	1000	5440502	5480567	101.407983018041	0.742257742257742	rs74791855	0.107265952957099	D	c2	TRM	AMLonly
2	CD28	128	1000	204561197	204613636	103.749930026212	0.513486513486514	rs4675362	0.0147038487680737	D	c2	TRM	AMLonly
20	CD40	89	1000	44736905	44768384	73.0836621532287	0.546453546453546	rs1883838	0.0578752285387447	D	c2	TRM	AMLonly
3	CD86	181	1000	121764208	121849988	60.8607168320402	0.996003996003996	rs2715269	0.0181263179455599	D	c2	TRM	AMLonly
10	CHUK	136	10000	101938123	101999344	327.976590969223	0.0460953904609539	rs4919432	0.00880383166282363	D	c2	TRM	AMLonly
1	CTH	131	1000	70866900	70915534	195.470527625996	0.150849150849151	rs487773	0.00740108258835045	D	c2	TRM	AMLonly
2	CTLA4	50	1000	204722510	204748683	34.1285222205797	0.586413586413586	rs231771	0.0848513815657267	D	c2	TRM	AMLonly
4	CXCL10	91	1000	76932268	76954689	24.0346566956017	0.883116883116883	rs4859583	0.140385008253805	D	c2	TRM	AMLonly
4	CXCL8	42	1000	74596222	74619433	26.3955456544711	0.55044955044955	rs140699754	0.00438769384541073	D	c2	TRM	AMLonly
19	CYP2B6	191	1000	41487203	41534301	149.798408287755	0.576423576423576	rs3211371	0.00635931542431648	D	c2	TRM	AMLonly
10	CYP2C19	306	1000	96512462	96622671	223.492193132961	0.565434565434565	rs11528090	0.0236073630660751	D	c2	TRM	AMLonly
10	CYP2C9	264	1000	96688414	96759148	200.300080851097	0.572427572427572	rs1934968	0.0133652538634267	D	c2	TRM	AMLonly
7	CYP3A5	73	1000	99235811	99287649	61.0859387949592	0.517482517482518	rs41300719	0.0131318565141689	D	c2	TRM	AMLonly
14	DAAM1	613	10000	59645380	59848123	1198.70842582487	0.048995100489951	rs10483713	0.00278685221261765	D	c2	TRM	AMLonly
6	EDN1	73	1000	12280528	12307427	97.9571107524752	0.204795204795205	rs1800543	0.0590312500358989	D	c2	TRM	AMLonly
6	ESR1	1364	1000	152001630	152434408	1314.03490462044	0.471528471528472	rs146193265	0.000355952490211144	D	c2	TRM	AMLonly
10	FAS	214	1000	90740287	90785542	131.624529323481	0.732267732267732	rs80178021	0.0008514545440623	D	c2	TRM	AMLonly
1	FASLG	62	1000	172618184	172646012	52.1262866091649	0.475524475524476	rs78276316	0.0238268366345326	D	c2	TRM	AMLonly
1	FCGR2A	120	1000	161465204	161499360	165.301507084943	0.17982017982018	rs12125379	0.000731483722357523	D	c2	TRM	AMLonly
11	FEN1	28	1000	61550108	61574714	27.0856436984948	0.33966033966034	rs61896141	0.0681190880309748	D	c2	TRM	AMLonly
6	GCLC	243	1000	53352139	53419927	379.010306858859	0.105894105894106	rs17881548	0.00332929656795056	D	c2	TRM	AMLonly
1	GCLM	138	1000	94342589	94385012	73.1191603227405	0.811188811188811	rs12057371	0.142420288660179	D	c2	TRM	AMLonly
22	GGT1	199	1000	24969717	25034972	250.969936517959	0.196803196803197	rs182768645	0.020077410152098	D	c2	TRM	AMLonly
3	GPX1	31	10000	49384608	49405791	68.4768597092457	0.0571942805719428	rs11711536	0.0111060530707798	D	c2	TRM	AMLonly
14	GPX2	79	1000	65395869	65419623	112.604031836896	0.187812187812188	rs2296327	0.0251536052294577	D	c2	TRM	AMLonly
5	GPX3	81	1000	150389998	150418554	55.6636551188812	0.653346653346653	rs3805435	0.0339514618324677	D	c2	TRM	AMLonly
6	GSTA1	92	1000	52646177	52678664	46.8818240211972	0.705294705294705	rs138248095	0.083367460365475	D	c2	TRM	AMLonly
1	GSTM1	40	1000	110220417	110246367	34.1840988363104	0.634365634365634	rs187167241	0.00143951334865042	D	c2	TRM	AMLonly
1	GSTM2	79	1000	110200643	110236619	84.7671419321937	0.344655344655345	rs187167241	0.00143951334865042	D	c2	TRM	AMLonly
1	GSTM3	56	1000	110266553	110293660	18.5278745965858	0.959040959040959	rs149980943	0.0829406310281712	D	c2	TRM	AMLonly
1	GSTM4	90	1000	110188697	110218123	61.2880394759873	0.697302697302697	rs574344	0.0154395554259922	D	c2	TRM	AMLonly
1	GSTM5	103	1000	110244863	110270890	56.2983449651114	0.842157842157842	rs150278958	0.00143722326609749	D	c2	TRM	AMLonly
11	GSTP1	84	1000	67341065	67364124	108.357121696427	0.246753246753247	rs56031100	0.00466588626198695	D	c2	TRM	AMLonly
22	GSTT1	10	10000	24366138	24394284	22.9813418457199	0.0184981501849815	rs111904579	0.0298563061928158	D	c2	TRM	AMLonly
14	GZMB	81	1000	25090160	25113432	117.141913231541	0.176823176823177	rs59268439	0.0226277540154042	D	c2	TRM	AMLonly
13	HMGB1	53	1000	31022878	31050081	68.3825434007872	0.232767232767233	rs117247190	0.0169975482140594	D	c2	TRM	AMLonly
4	HPSE	167	1000	84203613	84266306	123.428498857735	0.601398601398601	rs74945235	0.0572120476406724	D	c2	TRM	AMLonly
19	ICAM1	89	1000	10371516	10407291	70.1569880410896	0.614385614385614	rs5030397	0.00435520605874308	D	c2	TRM	AMLonly
2	ICOS	176	1000	204791470	204836298	197.610622720603	0.305694305694306	rs115871138	0.00450038667178531	D	c2	TRM	AMLonly
12	IFNG	76	1000	68538549	68563521	31.6607146464026	0.863136863136863	rs2069716	0.0568044013415152	D	c2	TRM	AMLonly
6	IFNGR1	70	1000	137508620	137550567	39.3886462739716	0.913086913086913	rs188998960	0.0476613527585167	D	c2	TRM	AMLonly
21	IFNGR2	146	1000	34765201	34819828	171.782348292423	0.262737262737263	rs4571135	0.028956288107033	D	c2	TRM	AMLonly
8	IKBKB	155	1000	42118819	42200171	96.1173447237286	0.715284715284715	rs62507976	0.0281352017427301	D	c2	TRM	AMLonly
1	IL10	62	1000	206930947	206955839	38.0019232055903	0.728271728271728	rs76178457	0.076281105431099	D	c2	TRM	AMLonly
11	IL10RA	87	1000	117847105	117882199	110.001405448994	0.266733266733267	rs142661080	0.039063700754041	D	c2	TRM	AMLonly
21	IL10RB	156	1000	34628664	34679539	111.135162548426	0.654345654345654	rs2834167	0.0389710662747835	D	c2	TRM	AMLonly
3	IL12A	74	1000	159696622	159723806	67.959279113524	0.413586413586414	rs678793	0.102261967156168	D	c2	TRM	AMLonly
5	IL12B	66	1000	158731790	158767481	33.1851442617153	0.818181818181818	rs3181224	0.0908029614820737	D	c2	TRM	AMLonly
19	IL12RB1	253	1000	18159804	18219626	201.327718704677	0.581418581418581	rs62121149	0.00498181441165181	D	c2	TRM	AMLonly
5	IL13	41	1000	131983864	132006801	32.8597016177868	0.514485514485514	rs2069739	0.0614590563596282	D	c2	TRM	AMLonly
10	IL15RA	222	1000	5984333	6030150	166.89632446781	0.681318681318681	rs8177694	0.00373096099084713	D	c2	TRM	AMLonly
11	IL18	98	10000	112003973	112044840	217.758190636877	0.0447955204479552	rs2043055	0.00195045519742997	D	c2	TRM	AMLonly
2	IL1A	83	1000	113521491	113552971	168.405014709417	0.118881118881119	rs3783557	0.046379213978169	D	c2	TRM	AMLonly
2	IL1B	51	1000	113577336	113604356	59.9831343074221	0.305694305694306	rs56109828	0.0330918438549299	D	c2	TRM	AMLonly
2	IL1R1	379	1000	102676835	102806334	178.330158888551	0.936063936063936	rs79400648	0.00544844493319795	D	c2	TRM	AMLonly
2	IL1RN	148	1000	113865469	113901593	54.9426288208248	0.893106893106893	rs17042905	0.163392415088862	D	c2	TRM	AMLonly
4	IL2	50	1000	123362625	123387650	97.5193643912552	0.0739260739260739	rs56360035	0.00871565976195693	D	c2	TRM	AMLonly
1	IL23R	318	1000	67622168	67735650	203.525609899935	0.779220779220779	rs7334720	0.0122756291632609	D	c2	TRM	AMLonly
10	IL2RA	305	1000	6042656	6114333	439.35187230703	0.107892107892108	rs6602368	0.00108435441104439	D	c2	TRM	AMLonly
5	IL4	63	1000	131999677	132028370	55.7815563899352	0.41958041958042	rs2243208	0.0971068223392077	D	c2	TRM	AMLonly
16	IL4R	220	1000	27315229	27386099	185.589821356005	0.509490509490509	rs147917651	0.000113227135844939	D	c2	TRM	AMLonly
7	IL6	99	1000	22756765	22781621	31.7939027746725	0.979020979020979	rs75897827	0.189934801450719	D	c2	TRM	AMLonly
1	IL6R	196	1000	154367668	154451926	254.014778244967	0.193806193806194	rs12035169	0.00749121758258011	D	c2	TRM	AMLonly
5	IL7R	139	1000	35846976	35889705	41.5276930724703	0.901098901098901	rs78467736	0.125681085261021	D	c2	TRM	AMLonly
19	IRF3	39	1000	50152825	50179132	17.4883924026483	0.859140859140859	rs143322306	0.115008062308303	D	c2	TRM	AMLonly
12	KLRK1	106	1000	10514951	10552653	130.879127596406	0.275724275724276	rs71450040	0.0269905356640789	D	c2	TRM	AMLonly
19	LIG1	312	1000	48608701	48683860	162.524549014434	0.79020979020979	rs35100567	0.00796966579941651	D	c2	TRM	AMLonly
17	LIG3	43	1000	33297516	33342088	30.1430313087764	0.594405594405594	rs117958408	0.084545203597825	D	c2	TRM	AMLonly
12	LRP1	154	1000	57512281	57617125	119.169499244176	0.627372627372627	rs34518518	0.000280410165548476	D	c2	TRM	AMLonly
19	MADCAM1	165	1000	486489	515343	99.1018960298547	0.892107892107892	rs62130829	0.0171114973594948	D	c2	TRM	AMLonly
2	MAL	50	1000	95681399	95729737	40.7527016732378	0.585414585414585	rs2279785	0.00228095457351217	D	c2	TRM	AMLonly
3	MBD4	73	1000	129139786	129169022	39.3219313136904	0.594405594405594	rs139936099	0.0138767423477275	D	c2	TRM	AMLonly
10	MBL2	126	1000	54515139	54541460	74.9733675578036	0.73026973026973	rs12784736	0.0231920784668214	D	c2	TRM	AMLonly
12	MGST1	152	1000	16490075	16540123	258.327390269969	0.102897102897103	rs3852576	0.00610158269121328	D	c2	TRM	AMLonly
22	MIF	106	1000	24226564	24247409	74.8816967893314	0.652347652347652	rs75991474	0.0603104172413894	D	c2	TRM	AMLonly
16	MPG	96	1000	117017	145850	155.364641549873	0.11988011988012	rs2541636	0.00891625219622839	D	c2	TRM	AMLonly
17	MPO	61	1000	56337216	56368296	96.4294525888706	0.112887112887113	rs115013689	0.00391508882258283	D	c2	TRM	AMLonly
1	MTHFR	231	1000	11835786	11876160	132.055849048444	0.699300699300699	rs1801131	0.0902447055240686	D	c2	TRM	AMLonly
1	MTR	334	1000	236948580	237077281	652.270726167104	0.0869130869130869	rs12131865	0.000570101816259287	D	c2	TRM	AMLonly
5	MTRR	260	1000	7859216	7911235	394.118849190796	0.146853146853147	rs2307116	0.000632739867765675	D	c2	TRM	AMLonly
1	MUTYH	40	1000	45784913	45816142	36.1324344173041	0.486513486513487	rs7535487	0.0159495192795656	D	c2	TRM	AMLonly
8	NAT1	389	1000	18017970	18091198	408.042539988355	0.378621378621379	rs13248278	0.0369829164151206	D	c2	TRM	AMLonly
8	NAT2	207	1000	18238754	18268723	149.023812242439	0.586413586413586	rs11786411	0.0246764173446328	D	c2	TRM	AMLonly
4	NFKB1	249	1000	103412485	103548459	100.600327381685	0.853146853146853	rs4648009	0.00635284506660572	D	c2	TRM	AMLonly
10	NFKB2	55	1000	104143866	104172286	93.4072591619469	0.0759240759240759	rs11574853	0.000231491079277887	D	c2	TRM	AMLonly
14	NFKBIA	95	1000	35860715	35883960	91.0431588168266	0.435564435564436	rs72642576	0.010378090854727	D	c2	TRM	AMLonly
19	NFKBIB	68	1000	39380339	39409534	59.1202448676169	0.4995004995005	rs12609975	0.0688142901219106	D	c2	TRM	AMLonly
1	NLRP3	293	1000	247569457	247622406	162.158268121432	0.961038961038961	rs74154643	0.00536701978040299	D	c2	TRM	AMLonly
16	NOD2	102	1000	50721049	50776987	43.3731818776735	0.9000999000999	rs117533141	0.0171082537887897	D	c2	TRM	AMLonly
12	NOS1	485	1000	117635946	117809607	406.29007979617	0.583416583416583	rs146156193	0.0161158934243069	D	c2	TRM	AMLonly
17	NOS2	195	1000	26073791	26137555	119.934032328477	0.816183816183816	rs4795067	0.0648295072852354	D	c2	TRM	AMLonly
7	NOS3	102	1000	150678143	150721687	102.830849745356	0.440559440559441	rs13310774	0.017520617729194	D	c2	TRM	AMLonly
16	NTHL1	58	1000	2079815	2107867	27.8466690490561	0.939060939060939	rs185056867	0.0720763506109245	D	c2	TRM	AMLonly
3	OGG1	69	1000	9781627	9818353	38.7287117916828	0.832167832167832	rs3219003	0.0620559862307557	D	c2	TRM	AMLonly
12	OLR1	143	1000	10300898	10334790	56.3205724853032	0.849150849150849	rs141332231	0.114113515289096	D	c2	TRM	AMLonly
12	P2RX7	352	1000	121560621	121634354	274.671027471969	0.588411588411588	rs118049242	0.00179329347734625	D	c2	TRM	AMLonly
1	PARP1	199	1000	226538391	226605801	129.910286603374	0.606393606393606	rs3219142	0.0152919250440157	D	c2	TRM	AMLonly
20	PCNA	78	1000	5085598	5117268	55.940812509596	0.512487512487512	rs7273726	0.0597442858137621	D	c2	TRM	AMLonly
22	PDGFB	134	1e+05	39609684	39650957	494.843539247721	0.003539964600354	rs2239769	0.000705952404163058	D	c2	TRM	AMLonly
4	PDGFC	359	10000	157672762	157902546	694.436521632579	0.051994800519948	rs78822217	0.0026635219034985	D	c2	TRM	AMLonly
11	PDGFD	987	1000	103767913	104045027	917.069596209992	0.506493506493506	rs12787767	0.00310462120343124	D	c2	TRM	AMLonly
4	PDGFRA	203	1000	55085263	55174412	215.183693882176	0.322677322677323	rs75012516	0.000919256419602246	D	c2	TRM	AMLonly
5	PDGFRB	195	1000	149483401	149545422	246.555251881737	0.191808191808192	rs2342256	0.0119941528472193	D	c2	TRM	AMLonly
17	PECAM1	102	10000	62386776	62417083	235.172301876785	0.0462953704629537	rs1867624	0.0102504943855417	D	c2	TRM	AMLonly
19	PNKP	64	1000	50354459	50380822	46.485768530206	0.613386613386613	rs192507165	0.0286364446971824	D	c2	TRM	AMLonly
8	POLB	122	1000	42185972	42239331	102.706551189996	0.467532467532468	rs13270698	0.0343360363947927	D	c2	TRM	AMLonly
19	POLD1	143	1000	50877579	50931275	55.5211190507518	0.962037962037962	rs3219435	0.0839443870993767	D	c2	TRM	AMLonly
7	POLD2	74	1000	44144278	44173169	33.2877434457376	0.862137862137862	rs3087368	0.0343099455249311	D	c2	TRM	AMLonly
12	POLE	270	1000	133190347	133274110	298.135742279616	0.313686313686314	rs11146976	0.0356764696320999	D	c2	TRM	AMLonly
18	POLI	165	1000	51785848	51834604	359.783294572099	0.0809190809190809	rs76845135	0.00198932100711546	D	c2	TRM	AMLonly
10	POLL	53	1000	103328638	103358027	70.5813587822309	0.221778221778222	rs139427119	0.0159452990538715	D	c2	TRM	AMLonly
7	PON1	126	1000	94917668	94963884	109.037481213306	0.546453546453546	rs3917510	0.0470145915765997	D	c2	TRM	AMLonly
